date,attendance
1.9.2014,838
2.9.2014,818
4.9.2014,808
5.9.2014,884
6.9.2014,793
7.9.2014,818
8.9.2014,881
9.9.2014,805
11.9.2014,889
12.9.2014,796
13.9.2014,868
14.9.2014,768
15.9.2014,905
16.9.2014,790
18.9.2014,841
19.9.2014,960
20.9.2014,883
21.9.2014,785
22.9.2014,881
23.9.2014,763
25.9.2014,806
26.9.2014,834
27.9.2014,858
28.9.2014,816
29.9.2014,782
30.9.2014,797
2.10.2014,886
3.10.2014,918
4.10.2014,760
5.10.2014,922
6.10.2014,898
7.10.2014,856
9.10.2014,897
10.10.2014,832
11.10.2014,837
12.10.2014,914
13.10.2014,767
14.10.2014,913
16.10.2014,765
17.10.2014,759
18.10.2014,766
19.10.2014,742
20.10.2014,865
21.10.2014,924
23.10.2014,838
24.10.2014,846
25.10.2014,923
26.10.2014,793
27.10.2014,827
28.10.2014,743
30.10.2014,800
31.10.2014,896
1.11.2014,849
2.11.2014,722
3.11.2014,721
4.11.2014,755
6.11.2014,892
7.11.2014,729
8.11.2014,900
9.11.2014,723
10.11.2014,744
11.11.2014,745
13.11.2014,854
14.11.2014,817
15.11.2014,748
16.11.2014,723
17.11.2014,832
18.11.2014,805
20.11.2014,836
21.11.2014,755
22.11.2014,706
23.11.2014,861
24.11.2014,805
25.11.2014,843
27.11.2014,842
28.11.2014,717
29.11.2014,781
30.11.2014,810
1.12.2014,705
2.12.2014,591
4.12.2014,607
5.12.2014,513
6.12.2014,632
7.12.2014,680
8.12.2014,588
9.12.2014,570
11.12.2014,581
12.12.2014,633
13.12.2014,521
14.12.2014,524
15.12.2014,671
16.12.2014,593
18.12.2014,629
19.12.2014,636
20.12.2014,557
21.12.2014,622
22.12.2014,608
23.12.2014,565
25.12.2014,681
26.12.2014,546
27.12.2014,507
28.12.2014,575
29.12.2014,487
30.12.2014,533
1.1.2015,177
2.1.2015,220
3.1.2015,297
4.1.2015,186
5.1.2015,293
6.1.2015,232
8.1.2015,236
9.1.2015,201
10.1.2015,311
11.1.2015,340
12.1.2015,177
13.1.2015,281
15.1.2015,332
16.1.2015,146
17.1.2015,311
18.1.2015,331
19.1.2015,332
20.1.2015,265
22.1.2015,261
23.1.2015,283
24.1.2015,282
25.1.2015,214
26.1.2015,136
27.1.2015,205
29.1.2015,290
30.1.2015,159
31.1.2015,210
1.2.2015,697
2.2.2015,670
3.2.2015,658
5.2.2015,767
6.2.2015,730
7.2.2015,754
8.2.2015,817
9.2.2015,787
10.2.2015,709
12.2.2015,716
13.2.2015,681
14.2.2015,762
15.2.2015,691
16.2.2015,664
17.2.2015,636
19.2.2015,668
20.2.2015,613
21.2.2015,649
22.2.2015,609
23.2.2015,632
24.2.2015,739
26.2.2015,639
27.2.2015,774
28.2.2015,727
1.3.2015,639
2.3.2015,706
3.3.2015,742
5.3.2015,612
6.3.2015,661
7.3.2015,768
8.3.2015,745
9.3.2015,749
10.3.2015,653
12.3.2015,626
13.3.2015,669
14.3.2015,596
15.3.2015,658
16.3.2015,762
17.3.2015,655
19.3.2015,774
20.3.2015,637
21.3.2015,705
22.3.2015,651
23.3.2015,741
24.3.2015,728
26.3.2015,672
27.3.2015,670
28.3.2015,631
29.3.2015,744
30.3.2015,715
31.3.2015,632
2.4.2015,698
3.4.2015,752
4.4.2015,598
5.4.2015,589
6.4.2015,669
7.4.2015,706
9.4.2015,568
10.4.2015,678
11.4.2015,677
12.4.2015,712
13.4.2015,690
14.4.2015,644
16.4.2015,682
17.4.2015,691
18.4.2015,648
19.4.2015,599
20.4.2015,709
21.4.2015,696
23.4.2015,652
24.4.2015,612
25.4.2015,704
26.4.2015,699
27.4.2015,578
28.4.2015,662
30.4.2015,659
1.5.2015,402
2.5.2015,385
3.5.2015,387
4.5.2015,370
5.5.2015,460
7.5.2015,348
8.5.2015,462
9.5.2015,362
10.5.2015,473
11.5.2015,450
12.5.2015,312
14.5.2015,391
15.5.2015,365
16.5.2015,399
17.5.2015,436
18.5.2015,331
19.5.2015,441
21.5.2015,366
22.5.2015,425
23.5.2015,404
24.5.2015,290
25.5.2015,440
26.5.2015,309
28.5.2015,397
29.5.2015,313
30.5.2015,340
31.5.2015,265
