date,attendance
1.9.2007,674
2.9.2007,523
4.9.2007,649
5.9.2007,533
6.9.2007,547
7.9.2007,528
8.9.2007,563
9.9.2007,510
11.9.2007,503
12.9.2007,663
13.9.2007,670
14.9.2007,565
15.9.2007,549
16.9.2007,537
18.9.2007,573
19.9.2007,535
20.9.2007,524
21.9.2007,601
22.9.2007,550
23.9.2007,636
25.9.2007,507
26.9.2007,667
27.9.2007,533
28.9.2007,501
29.9.2007,670
30.9.2007,504
2.10.2007,652
3.10.2007,478
4.10.2007,499
5.10.2007,570
6.10.2007,490
7.10.2007,561
9.10.2007,508
10.10.2007,490
11.10.2007,516
12.10.2007,477
13.10.2007,546
14.10.2007,567
16.10.2007,623
17.10.2007,587
18.10.2007,644
19.10.2007,505
20.10.2007,488
21.10.2007,589
23.10.2007,605
24.10.2007,539
25.10.2007,607
26.10.2007,612
27.10.2007,497
28.10.2007,529
30.10.2007,561
31.10.2007,614
1.11.2007,468
2.11.2007,612
3.11.2007,604
4.11.2007,534
6.11.2007,565
7.11.2007,599
8.11.2007,469
9.11.2007,597
10.11.2007,586
11.11.2007,471
13.11.2007,546
14.11.2007,500
15.11.2007,508
16.11.2007,480
17.11.2007,540
18.11.2007,607
20.11.2007,603
21.11.2007,586
22.11.2007,485
23.11.2007,549
24.11.2007,434
25.11.2007,590
27.11.2007,591
28.11.2007,505
29.11.2007,550
30.11.2007,515
1.12.2007,407
2.12.2007,420
4.12.2007,403
5.12.2007,305
6.12.2007,290
7.12.2007,238
8.12.2007,367
9.12.2007,272
11.12.2007,323
12.12.2007,344
13.12.2007,377
14.12.2007,358
15.12.2007,395
16.12.2007,267
18.12.2007,387
19.12.2007,275
20.12.2007,325
21.12.2007,333
22.12.2007,396
23.12.2007,396
25.12.2007,363
26.12.2007,275
27.12.2007,266
28.12.2007,295
29.12.2007,227
30.12.2007,331
1.1.2008,-44
2.1.2008,-81
3.1.2008,-5
4.1.2008,4
5.1.2008,1
6.1.2008,50
8.1.2008,-20
9.1.2008,-124
10.1.2008,31
11.1.2008,-29
12.1.2008,-117
13.1.2008,-46
15.1.2008,-115
16.1.2008,-33
17.1.2008,-117
18.1.2008,53
19.1.2008,-110
20.1.2008,-76
22.1.2008,-21
23.1.2008,-9
24.1.2008,23
25.1.2008,-97
26.1.2008,-96
27.1.2008,-17
29.1.2008,-1
30.1.2008,-4
31.1.2008,-35
1.2.2008,384
2.2.2008,479
3.2.2008,351
5.2.2008,538
6.2.2008,429
7.2.2008,525
8.2.2008,486
9.2.2008,340
10.2.2008,403
12.2.2008,418
13.2.2008,501
14.2.2008,498
15.2.2008,344
16.2.2008,339
17.2.2008,378
19.2.2008,385
20.2.2008,477
21.2.2008,345
22.2.2008,489
23.2.2008,456
24.2.2008,412
26.2.2008,439
27.2.2008,338
28.2.2008,401
1.3.2008,440
2.3.2008,375
3.3.2008,458
5.3.2008,399
6.3.2008,465
7.3.2008,353
8.3.2008,351
9.3.2008,385
10.3.2008,399
12.3.2008,368
13.3.2008,415
14.3.2008,388
15.3.2008,335
16.3.2008,490
17.3.2008,460
19.3.2008,495
20.3.2008,437
21.3.2008,343
22.3.2008,394
23.3.2008,444
24.3.2008,450
26.3.2008,295
27.3.2008,402
28.3.2008,322
29.3.2008,331
30.3.2008,482
31.3.2008,425
2.4.2008,424
3.4.2008,459
4.4.2008,481
5.4.2008,283
6.4.2008,318
7.4.2008,453
9.4.2008,354
10.4.2008,370
11.4.2008,397
12.4.2008,407
13.4.2008,447
14.4.2008,468
16.4.2008,393
17.4.2008,353
18.4.2008,300
19.4.2008,335
20.4.2008,364
21.4.2008,435
23.4.2008,283
24.4.2008,404
25.4.2008,419
26.4.2008,415
27.4.2008,336
28.4.2008,392
30.4.2008,434
1.5.2008,161
2.5.2008,66
3.5.2008,123
4.5.2008,165
5.5.2008,39
7.5.2008,93
8.5.2008,147
9.5.2008,156
10.5.2008,109
11.5.2008,55
12.5.2008,148
14.5.2008,77
15.5.2008,55
16.5.2008,30
17.5.2008,20
18.5.2008,53
19.5.2008,186
21.5.2008,-1
22.5.2008,103
23.5.2008,119
24.5.2008,12
25.5.2008,94
26.5.2008,54
28.5.2008,143
29.5.2008,-5
30.5.2008,23
31.5.2008,91
