date,attendance
1.9.2010,748
2.9.2010,755
4.9.2010,731
5.9.2010,733
6.9.2010,796
7.9.2010,777
8.9.2010,659
9.9.2010,789
11.9.2010,773
12.9.2010,742
13.9.2010,644
14.9.2010,637
15.9.2010,611
16.9.2010,753
18.9.2010,695
19.9.2010,737
20.9.2010,606
21.9.2010,649
22.9.2010,735
23.9.2010,599
25.9.2010,766
26.9.2010,765
27.9.2010,731
28.9.2010,711
29.9.2010,714
30.9.2010,634
2.10.2010,681
3.10.2010,659
4.10.2010,613
5.10.2010,593
6.10.2010,628
7.10.2010,688
9.10.2010,739
10.10.2010,665
11.10.2010,704
12.10.2010,671
13.10.2010,646
14.10.2010,767
16.10.2010,638
17.10.2010,762
18.10.2010,624
19.10.2010,727
20.10.2010,768
21.10.2010,725
23.10.2010,622
24.10.2010,670
25.10.2010,622
26.10.2010,565
27.10.2010,606
28.10.2010,638
30.10.2010,620
31.10.2010,576
1.11.2010,664
2.11.2010,623
3.11.2010,629
4.11.2010,743
6.11.2010,742
7.11.2010,736
8.11.2010,648
9.11.2010,704
10.11.2010,605
11.11.2010,582
13.11.2010,661
14.11.2010,563
15.11.2010,728
16.11.2010,650
17.11.2010,669
18.11.2010,676
20.11.2010,608
21.11.2010,659
22.11.2010,715
23.11.2010,539
24.11.2010,535
25.11.2010,608
27.11.2010,554
28.11.2010,716
29.11.2010,560
30.11.2010,666
1.12.2010,529
2.12.2010,436
4.12.2010,500
5.12.2010,412
6.12.2010,363
7.12.2010,411
8.12.2010,438
9.12.2010,370
11.12.2010,343
12.12.2010,424
13.12.2010,426
14.12.2010,365
15.12.2010,409
16.12.2010,422
18.12.2010,522
19.12.2010,430
20.12.2010,517
21.12.2010,458
22.12.2010,422
23.12.2010,367
25.12.2010,484
26.12.2010,408
27.12.2010,448
28.12.2010,333
29.12.2010,355
30.12.2010,442
1.1.2011,143
2.1.2011,16
3.1.2011,34
4.1.2011,112
5.1.2011,36
6.1.2011,24
8.1.2011,-10
9.1.2011,-8
10.1.2011,139
11.1.2011,175
12.1.2011,57
13.1.2011,55
15.1.2011,25
16.1.2011,32
17.1.2011,38
18.1.2011,64
19.1.2011,149
20.1.2011,35
22.1.2011,0
23.1.2011,-8
24.1.2011,102
25.1.2011,-7
26.1.2011,-17
27.1.2011,17
29.1.2011,103
30.1.2011,121
31.1.2011,-27
1.2.2011,648
2.2.2011,474
3.2.2011,478
5.2.2011,652
6.2.2011,505
7.2.2011,652
8.2.2011,523
9.2.2011,645
10.2.2011,479
12.2.2011,559
13.2.2011,597
14.2.2011,578
15.2.2011,508
16.2.2011,606
17.2.2011,635
19.2.2011,577
20.2.2011,556
21.2.2011,535
22.2.2011,626
23.2.2011,496
24.2.2011,477
26.2.2011,552
27.2.2011,631
28.2.2011,510
1.3.2011,441
2.3.2011,457
3.3.2011,475
5.3.2011,517
6.3.2011,524
7.3.2011,455
8.3.2011,435
9.3.2011,623
10.3.2011,559
12.3.2011,501
13.3.2011,573
14.3.2011,563
15.3.2011,512
16.3.2011,620
17.3.2011,526
19.3.2011,485
20.3.2011,432
21.3.2011,432
22.3.2011,484
23.3.2011,544
24.3.2011,543
26.3.2011,466
27.3.2011,436
28.3.2011,599
29.3.2011,470
30.3.2011,492
31.3.2011,538
2.4.2011,563
3.4.2011,443
4.4.2011,430
5.4.2011,502
6.4.2011,582
7.4.2011,545
9.4.2011,579
10.4.2011,444
11.4.2011,423
12.4.2011,555
13.4.2011,508
14.4.2011,430
16.4.2011,458
17.4.2011,547
18.4.2011,513
19.4.2011,445
20.4.2011,479
21.4.2011,463
23.4.2011,461
24.4.2011,579
25.4.2011,479
26.4.2011,388
27.4.2011,390
28.4.2011,505
30.4.2011,432
1.5.2011,282
2.5.2011,179
3.5.2011,253
4.5.2011,285
5.5.2011,233
7.5.2011,162
8.5.2011,158
9.5.2011,295
10.5.2011,278
11.5.2011,232
12.5.2011,193
14.5.2011,236
15.5.2011,154
16.5.2011,126
17.5.2011,157
18.5.2011,307
19.5.2011,175
21.5.2011,248
22.5.2011,150
23.5.2011,189
24.5.2011,269
25.5.2011,177
26.5.2011,113
28.5.2011,188
29.5.2011,142
30.5.2011,167
31.5.2011,289
