date,attendance
1.9.2015,872
2.9.2015,1014
4.9.2015,873
5.9.2015,861
6.9.2015,1012
7.9.2015,1002
8.9.2015,1004
9.9.2015,830
11.9.2015,848
12.9.2015,851
13.9.2015,880
14.9.2015,929
15.9.2015,993
16.9.2015,884
18.9.2015,969
19.9.2015,815
20.9.2015,885
21.9.2015,885
22.9.2015,881
23.9.2015,882
25.9.2015,882
26.9.2015,961
27.9.2015,973
28.9.2015,982
29.9.2015,842
30.9.2015,899
2.10.2015,838
3.10.2015,981
4.10.2015,840
5.10.2015,885
6.10.2015,979
7.10.2015,881
9.10.2015,826
10.10.2015,828
11.10.2015,915
12.10.2015,889
13.10.2015,801
14.10.2015,925
16.10.2015,877
17.10.2015,879
18.10.2015,910
19.10.2015,921
20.10.2015,889
21.10.2015,961
23.10.2015,944
24.10.2015,843
25.10.2015,904
26.10.2015,826
27.10.2015,903
28.10.2015,909
30.10.2015,907
31.10.2015,946
1.11.2015,937
2.11.2015,781
3.11.2015,757
4.11.2015,830
6.11.2015,862
7.11.2015,782
8.11.2015,862
9.11.2015,881
10.11.2015,774
11.11.2015,845
13.11.2015,867
14.11.2015,776
15.11.2015,795
16.11.2015,766
17.11.2015,795
18.11.2015,841
20.11.2015,906
21.11.2015,929
22.11.2015,789
23.11.2015,872
24.11.2015,929
25.11.2015,761
27.11.2015,882
28.11.2015,878
29.11.2015,870
30.11.2015,757
1.12.2015,711
2.12.2015,693
4.12.2015,706
5.12.2015,629
6.12.2015,644
7.12.2015,607
8.12.2015,670
9.12.2015,616
11.12.2015,623
12.12.2015,632
13.12.2015,605
14.12.2015,733
15.12.2015,703
16.12.2015,561
18.12.2015,612
19.12.2015,570
20.12.2015,626
21.12.2015,712
22.12.2015,544
23.12.2015,539
25.12.2015,605
26.12.2015,554
27.12.2015,645
28.12.2015,725
29.12.2015,636
30.12.2015,619
1.1.2016,361
2.1.2016,236
3.1.2016,293
4.1.2016,285
5.1.2016,385
6.1.2016,371
8.1.2016,342
9.1.2016,369
10.1.2016,362
11.1.2016,196
12.1.2016,240
13.1.2016,345
15.1.2016,356
16.1.2016,365
17.1.2016,332
18.1.2016,183
19.1.2016,179
20.1.2016,370
22.1.2016,364
23.1.2016,185
24.1.2016,373
25.1.2016,360
26.1.2016,312
27.1.2016,174
29.1.2016,224
30.1.2016,217
31.1.2016,184
1.2.2016,794
2.2.2016,793
3.2.2016,748
5.2.2016,674
6.2.2016,745
7.2.2016,820
8.2.2016,825
9.2.2016,857
10.2.2016,806
12.2.2016,776
13.2.2016,740
14.2.2016,824
15.2.2016,790
16.2.2016,721
17.2.2016,751
19.2.2016,826
20.2.2016,839
21.2.2016,762
22.2.2016,814
23.2.2016,695
24.2.2016,672
26.2.2016,765
27.2.2016,713
28.2.2016,801
1.3.2016,736
2.3.2016,714
3.3.2016,701
5.3.2016,695
6.3.2016,760
7.3.2016,655
8.3.2016,804
9.3.2016,736
10.3.2016,786
12.3.2016,653
13.3.2016,751
14.3.2016,636
15.3.2016,772
16.3.2016,805
17.3.2016,759
19.3.2016,708
20.3.2016,716
21.3.2016,807
22.3.2016,777
23.3.2016,751
24.3.2016,774
26.3.2016,734
27.3.2016,715
28.3.2016,773
29.3.2016,655
30.3.2016,615
31.3.2016,799
2.4.2016,707
3.4.2016,769
4.4.2016,629
5.4.2016,775
6.4.2016,624
7.4.2016,731
9.4.2016,671
10.4.2016,783
11.4.2016,775
12.4.2016,677
13.4.2016,778
14.4.2016,775
16.4.2016,783
17.4.2016,637
18.4.2016,655
19.4.2016,682
20.4.2016,770
21.4.2016,768
23.4.2016,677
24.4.2016,723
25.4.2016,769
26.4.2016,689
27.4.2016,722
28.4.2016,652
30.4.2016,672
1.5.2016,477
2.5.2016,473
3.5.2016,450
4.5.2016,334
5.5.2016,334
7.5.2016,453
8.5.2016,416
9.5.2016,449
10.5.2016,474
11.5.2016,391
12.5.2016,348
14.5.2016,433
15.5.2016,373
16.5.2016,422
17.5.2016,390
18.5.2016,489
19.5.2016,455
21.5.2016,316
22.5.2016,457
23.5.2016,346
24.5.2016,424
25.5.2016,303
26.5.2016,425
28.5.2016,434
29.5.2016,488
30.5.2016,344
31.5.2016,323
