date,attendance
1.9.2016,979
2.9.2016,1003
4.9.2016,978
5.9.2016,1012
6.9.2016,1004
7.9.2016,1035
8.9.2016,871
9.9.2016,883
11.9.2016,893
12.9.2016,1005
13.9.2016,957
14.9.2016,893
15.9.2016,920
16.9.2016,1018
18.9.2016,904
19.9.2016,888
20.9.2016,950
21.9.2016,962
22.9.2016,1019
23.9.2016,837
25.9.2016,960
26.9.2016,934
27.9.2016,899
28.9.2016,991
29.9.2016,994
30.9.2016,999
2.10.2016,1008
3.10.2016,895
4.10.2016,924
5.10.2016,1002
6.10.2016,1020
7.10.2016,996
9.10.2016,929
10.10.2016,877
11.10.2016,1009
12.10.2016,990
13.10.2016,876
14.10.2016,830
16.10.2016,879
17.10.2016,995
18.10.2016,1000
19.10.2016,932
20.10.2016,963
21.10.2016,869
23.10.2016,829
24.10.2016,950
25.10.2016,902
26.10.2016,927
27.10.2016,943
28.10.2016,847
30.10.2016,801
31.10.2016,874
1.11.2016,821
2.11.2016,966
3.11.2016,991
4.11.2016,911
6.11.2016,801
7.11.2016,989
8.11.2016,871
9.11.2016,875
10.11.2016,965
11.11.2016,970
13.11.2016,972
14.11.2016,822
15.11.2016,814
16.11.2016,952
17.11.2016,803
18.11.2016,963
20.11.2016,838
21.11.2016,936
22.11.2016,852
23.11.2016,938
24.11.2016,891
25.11.2016,787
27.11.2016,813
28.11.2016,842
29.11.2016,901
30.11.2016,788
1.12.2016,768
2.12.2016,648
4.12.2016,725
5.12.2016,671
6.12.2016,647
7.12.2016,747
8.12.2016,598
9.12.2016,586
11.12.2016,725
12.12.2016,677
13.12.2016,678
14.12.2016,764
15.12.2016,591
16.12.2016,660
18.12.2016,626
19.12.2016,678
20.12.2016,626
21.12.2016,609
22.12.2016,753
23.12.2016,718
25.12.2016,597
26.12.2016,710
27.12.2016,571
28.12.2016,637
29.12.2016,623
30.12.2016,714
1.1.2017,418
2.1.2017,341
3.1.2017,392
4.1.2017,415
5.1.2017,249
6.1.2017,416
8.1.2017,283
9.1.2017,326
10.1.2017,359
11.1.2017,381
12.1.2017,390
13.1.2017,326
15.1.2017,323
16.1.2017,259
17.1.2017,256
18.1.2017,416
19.1.2017,333
20.1.2017,336
22.1.2017,363
23.1.2017,312
24.1.2017,317
25.1.2017,377
26.1.2017,298
27.1.2017,279
29.1.2017,398
30.1.2017,395
31.1.2017,228
1.2.2017,816
2.2.2017,762
3.2.2017,741
5.2.2017,739
6.2.2017,837
7.2.2017,834
8.2.2017,869
9.2.2017,819
10.2.2017,705
12.2.2017,868
13.2.2017,761
14.2.2017,723
15.2.2017,844
16.2.2017,873
17.2.2017,877
19.2.2017,817
20.2.2017,846
21.2.2017,741
22.2.2017,847
23.2.2017,732
24.2.2017,862
26.2.2017,879
27.2.2017,794
28.2.2017,837
1.3.2017,747
2.3.2017,808
3.3.2017,688
5.3.2017,771
6.3.2017,772
7.3.2017,679
8.3.2017,697
9.3.2017,851
10.3.2017,687
12.3.2017,769
13.3.2017,797
14.3.2017,666
15.3.2017,744
16.3.2017,785
17.3.2017,738
19.3.2017,708
20.3.2017,679
21.3.2017,753
22.3.2017,787
23.3.2017,784
24.3.2017,785
26.3.2017,669
27.3.2017,703
28.3.2017,686
29.3.2017,657
30.3.2017,740
31.3.2017,705
2.4.2017,784
3.4.2017,730
4.4.2017,694
5.4.2017,834
6.4.2017,792
7.4.2017,810
9.4.2017,640
10.4.2017,783
11.4.2017,691
12.4.2017,821
13.4.2017,829
14.4.2017,815
16.4.2017,713
17.4.2017,720
18.4.2017,727
19.4.2017,633
20.4.2017,812
21.4.2017,819
23.4.2017,690
24.4.2017,627
25.4.2017,812
26.4.2017,806
27.4.2017,727
28.4.2017,702
30.4.2017,812
1.5.2017,431
2.5.2017,559
3.5.2017,553
4.5.2017,416
5.5.2017,472
7.5.2017,420
8.5.2017,439
9.5.2017,370
10.5.2017,515
11.5.2017,406
12.5.2017,423
14.5.2017,484
15.5.2017,383
16.5.2017,422
17.5.2017,357
18.5.2017,453
19.5.2017,383
21.5.2017,480
22.5.2017,370
23.5.2017,470
24.5.2017,404
25.5.2017,374
26.5.2017,417
28.5.2017,534
29.5.2017,420
30.5.2017,387
31.5.2017,403
