date,attendance
1.9.2013,842
2.9.2013,844
4.9.2013,808
5.9.2013,851
6.9.2013,757
7.9.2013,767
8.9.2013,788
9.9.2013,920
11.9.2013,865
12.9.2013,843
13.9.2013,849
14.9.2013,827
15.9.2013,845
16.9.2013,729
18.9.2013,838
19.9.2013,774
20.9.2013,892
21.9.2013,893
22.9.2013,788
23.9.2013,861
25.9.2013,820
26.9.2013,714
27.9.2013,876
28.9.2013,785
29.9.2013,765
30.9.2013,731
2.10.2013,846
3.10.2013,779
4.10.2013,769
5.10.2013,758
6.10.2013,796
7.10.2013,861
9.10.2013,706
10.10.2013,769
11.10.2013,852
12.10.2013,749
13.10.2013,745
14.10.2013,862
16.10.2013,780
17.10.2013,750
18.10.2013,858
19.10.2013,759
20.10.2013,780
21.10.2013,874
23.10.2013,774
24.10.2013,787
25.10.2013,785
26.10.2013,862
27.10.2013,755
28.10.2013,793
30.10.2013,722
31.10.2013,865
1.11.2013,715
2.11.2013,871
3.11.2013,685
4.11.2013,798
6.11.2013,799
7.11.2013,808
8.11.2013,731
9.11.2013,779
10.11.2013,831
11.11.2013,742
13.11.2013,715
14.11.2013,757
15.11.2013,721
16.11.2013,667
17.11.2013,752
18.11.2013,829
20.11.2013,718
21.11.2013,817
22.11.2013,805
23.11.2013,772
24.11.2013,797
25.11.2013,767
27.11.2013,782
28.11.2013,812
29.11.2013,756
30.11.2013,740
1.12.2013,514
2.12.2013,500
4.12.2013,588
5.12.2013,538
6.12.2013,495
7.12.2013,637
8.12.2013,568
9.12.2013,612
11.12.2013,603
12.12.2013,568
13.12.2013,593
14.12.2013,616
15.12.2013,510
16.12.2013,652
18.12.2013,586
19.12.2013,559
20.12.2013,648
21.12.2013,496
22.12.2013,642
23.12.2013,566
25.12.2013,506
26.12.2013,476
27.12.2013,630
28.12.2013,627
29.12.2013,471
30.12.2013,471
1.1.2014,240
2.1.2014,230
3.1.2014,256
4.1.2014,196
5.1.2014,241
6.1.2014,159
8.1.2014,261
9.1.2014,255
10.1.2014,123
11.1.2014,218
12.1.2014,244
13.1.2014,256
15.1.2014,226
16.1.2014,287
17.1.2014,203
18.1.2014,276
19.1.2014,218
20.1.2014,182
22.1.2014,106
23.1.2014,288
24.1.2014,214
25.1.2014,272
26.1.2014,163
27.1.2014,283
29.1.2014,187
30.1.2014,232
31.1.2014,253
1.2.2014,625
2.2.2014,607
3.2.2014,611
5.2.2014,751
6.2.2014,764
7.2.2014,748
8.2.2014,767
9.2.2014,654
10.2.2014,722
12.2.2014,648
13.2.2014,684
14.2.2014,759
15.2.2014,690
16.2.2014,670
17.2.2014,740
19.2.2014,599
20.2.2014,636
21.2.2014,694
22.2.2014,681
23.2.2014,748
24.2.2014,755
26.2.2014,646
27.2.2014,620
28.2.2014,669
1.3.2014,596
2.3.2014,559
3.3.2014,691
5.3.2014,612
6.3.2014,617
7.3.2014,595
8.3.2014,717
9.3.2014,748
10.3.2014,570
12.3.2014,658
13.3.2014,714
14.3.2014,715
15.3.2014,574
16.3.2014,600
17.3.2014,674
19.3.2014,682
20.3.2014,713
21.3.2014,628
22.3.2014,549
23.3.2014,656
24.3.2014,692
26.3.2014,588
27.3.2014,607
28.3.2014,703
29.3.2014,686
30.3.2014,563
31.3.2014,726
2.4.2014,638
3.4.2014,631
4.4.2014,717
5.4.2014,602
6.4.2014,587
7.4.2014,538
9.4.2014,669
10.4.2014,658
11.4.2014,547
12.4.2014,549
13.4.2014,668
14.4.2014,557
16.4.2014,530
17.4.2014,569
18.4.2014,620
19.4.2014,608
20.4.2014,655
21.4.2014,559
23.4.2014,520
24.4.2014,641
25.4.2014,613
26.4.2014,600
27.4.2014,637
28.4.2014,513
30.4.2014,554
1.5.2014,334
2.5.2014,344
3.5.2014,298
4.5.2014,407
5.5.2014,314
7.5.2014,316
8.5.2014,339
9.5.2014,244
10.5.2014,348
11.5.2014,324
12.5.2014,363
14.5.2014,261
15.5.2014,256
16.5.2014,301
17.5.2014,384
18.5.2014,310
19.5.2014,298
21.5.2014,294
22.5.2014,406
23.5.2014,342
24.5.2014,298
25.5.2014,382
26.5.2014,412
28.5.2014,250
29.5.2014,291
30.5.2014,330
31.5.2014,365
