date,attendance
1.9.2008,675
2.9.2008,557
4.9.2008,704
5.9.2008,725
6.9.2008,589
7.9.2008,676
8.9.2008,713
9.9.2008,700
11.9.2008,600
12.9.2008,627
13.9.2008,694
14.9.2008,631
15.9.2008,540
16.9.2008,638
18.9.2008,615
19.9.2008,628
20.9.2008,672
21.9.2008,648
22.9.2008,619
23.9.2008,577
25.9.2008,554
26.9.2008,519
27.9.2008,603
28.9.2008,530
29.9.2008,554
30.9.2008,546
2.10.2008,508
3.10.2008,573
4.10.2008,585
5.10.2008,651
6.10.2008,701
7.10.2008,619
9.10.2008,669
10.10.2008,677
11.10.2008,664
12.10.2008,592
13.10.2008,502
14.10.2008,515
16.10.2008,664
17.10.2008,626
18.10.2008,514
19.10.2008,661
20.10.2008,600
21.10.2008,678
23.10.2008,671
24.10.2008,581
25.10.2008,608
26.10.2008,554
27.10.2008,520
28.10.2008,485
30.10.2008,625
31.10.2008,671
1.11.2008,618
2.11.2008,600
3.11.2008,526
4.11.2008,543
6.11.2008,609
7.11.2008,604
8.11.2008,579
9.11.2008,494
10.11.2008,599
11.11.2008,588
13.11.2008,601
14.11.2008,547
15.11.2008,566
16.11.2008,557
17.11.2008,549
18.11.2008,590
20.11.2008,471
21.11.2008,580
22.11.2008,609
23.11.2008,576
24.11.2008,578
25.11.2008,533
27.11.2008,577
28.11.2008,576
29.11.2008,583
30.11.2008,552
1.12.2008,275
2.12.2008,295
4.12.2008,352
5.12.2008,413
6.12.2008,449
7.12.2008,466
8.12.2008,451
9.12.2008,321
11.12.2008,453
12.12.2008,449
13.12.2008,457
14.12.2008,285
15.12.2008,378
16.12.2008,435
18.12.2008,305
19.12.2008,317
20.12.2008,408
21.12.2008,370
22.12.2008,445
23.12.2008,442
25.12.2008,348
26.12.2008,429
27.12.2008,341
28.12.2008,304
29.12.2008,336
30.12.2008,311
1.1.2009,51
2.1.2009,74
3.1.2009,103
4.1.2009,-18
5.1.2009,-21
6.1.2009,87
8.1.2009,10
9.1.2009,-13
10.1.2009,-43
11.1.2009,-68
12.1.2009,63
13.1.2009,-60
15.1.2009,18
16.1.2009,39
17.1.2009,51
18.1.2009,-5
19.1.2009,-10
20.1.2009,-40
22.1.2009,50
23.1.2009,-93
24.1.2009,-31
25.1.2009,9
26.1.2009,-37
27.1.2009,52
29.1.2009,54
30.1.2009,55
31.1.2009,-94
1.2.2009,457
2.2.2009,428
3.2.2009,565
5.2.2009,428
6.2.2009,391
7.2.2009,521
8.2.2009,521
9.2.2009,408
10.2.2009,489
12.2.2009,523
13.2.2009,485
14.2.2009,450
15.2.2009,568
16.2.2009,474
17.2.2009,399
19.2.2009,478
20.2.2009,518
21.2.2009,457
22.2.2009,434
23.2.2009,542
24.2.2009,496
26.2.2009,413
27.2.2009,429
28.2.2009,360
1.3.2009,402
2.3.2009,416
3.3.2009,517
5.3.2009,432
6.3.2009,388
7.3.2009,461
8.3.2009,359
9.3.2009,487
10.3.2009,532
12.3.2009,357
13.3.2009,520
14.3.2009,406
15.3.2009,517
16.3.2009,409
17.3.2009,366
19.3.2009,343
20.3.2009,459
21.3.2009,392
22.3.2009,437
23.3.2009,370
24.3.2009,512
26.3.2009,471
27.3.2009,487
28.3.2009,486
29.3.2009,363
30.3.2009,402
31.3.2009,524
2.4.2009,465
3.4.2009,446
4.4.2009,484
5.4.2009,456
6.4.2009,471
7.4.2009,436
9.4.2009,466
10.4.2009,436
11.4.2009,471
12.4.2009,356
13.4.2009,484
14.4.2009,501
16.4.2009,389
17.4.2009,377
18.4.2009,430
19.4.2009,409
20.4.2009,356
21.4.2009,315
23.4.2009,341
24.4.2009,466
25.4.2009,398
26.4.2009,313
27.4.2009,434
28.4.2009,333
30.4.2009,429
1.5.2009,87
2.5.2009,141
3.5.2009,157
4.5.2009,164
5.5.2009,101
7.5.2009,111
8.5.2009,190
9.5.2009,107
10.5.2009,227
11.5.2009,164
12.5.2009,211
14.5.2009,170
15.5.2009,43
16.5.2009,92
17.5.2009,45
18.5.2009,166
19.5.2009,120
21.5.2009,166
22.5.2009,66
23.5.2009,112
24.5.2009,59
25.5.2009,126
26.5.2009,153
28.5.2009,108
29.5.2009,112
30.5.2009,28
31.5.2009,198
