date,attendance
1.9.2012,767
2.9.2012,749
4.9.2012,759
5.9.2012,868
6.9.2012,842
7.9.2012,735
8.9.2012,855
9.9.2012,698
11.9.2012,705
12.9.2012,797
13.9.2012,768
14.9.2012,767
15.9.2012,770
16.9.2012,808
18.9.2012,769
19.9.2012,746
20.9.2012,717
21.9.2012,825
22.9.2012,825
23.9.2012,771
25.9.2012,797
26.9.2012,740
27.9.2012,673
28.9.2012,677
29.9.2012,841
30.9.2012,773
2.10.2012,687
3.10.2012,832
4.10.2012,686
5.10.2012,686
6.10.2012,706
7.10.2012,821
9.10.2012,766
10.10.2012,826
11.10.2012,674
12.10.2012,662
13.10.2012,750
14.10.2012,841
16.10.2012,728
17.10.2012,804
18.10.2012,687
19.10.2012,833
20.10.2012,812
21.10.2012,668
23.10.2012,755
24.10.2012,671
25.10.2012,719
26.10.2012,660
27.10.2012,733
28.10.2012,671
30.10.2012,780
31.10.2012,697
1.11.2012,646
2.11.2012,782
3.11.2012,825
4.11.2012,689
6.11.2012,657
7.11.2012,639
8.11.2012,807
9.11.2012,649
10.11.2012,805
11.11.2012,640
13.11.2012,648
14.11.2012,647
15.11.2012,754
16.11.2012,746
17.11.2012,764
18.11.2012,739
20.11.2012,710
21.11.2012,772
22.11.2012,794
23.11.2012,667
24.11.2012,666
25.11.2012,644
27.11.2012,755
28.11.2012,808
29.11.2012,667
30.11.2012,808
1.12.2012,475
2.12.2012,569
4.12.2012,499
5.12.2012,470
6.12.2012,591
7.12.2012,569
8.12.2012,455
9.12.2012,436
11.12.2012,527
12.12.2012,576
13.12.2012,482
14.12.2012,545
15.12.2012,573
16.12.2012,446
18.12.2012,529
19.12.2012,449
20.12.2012,566
21.12.2012,421
22.12.2012,538
23.12.2012,527
25.12.2012,442
26.12.2012,534
27.12.2012,599
28.12.2012,546
29.12.2012,536
30.12.2012,481
1.1.2013,114
2.1.2013,86
3.1.2013,213
4.1.2013,256
5.1.2013,161
6.1.2013,210
8.1.2013,84
9.1.2013,263
10.1.2013,172
11.1.2013,167
12.1.2013,159
13.1.2013,178
15.1.2013,153
16.1.2013,83
17.1.2013,67
18.1.2013,258
19.1.2013,242
20.1.2013,245
22.1.2013,216
23.1.2013,215
24.1.2013,222
25.1.2013,73
26.1.2013,136
27.1.2013,107
29.1.2013,162
30.1.2013,220
31.1.2013,60
1.2.2013,584
2.2.2013,716
3.2.2013,583
5.2.2013,581
6.2.2013,642
7.2.2013,637
8.2.2013,721
9.2.2013,570
10.2.2013,714
12.2.2013,683
13.2.2013,677
14.2.2013,598
15.2.2013,675
16.2.2013,640
17.2.2013,595
19.2.2013,707
20.2.2013,585
21.2.2013,716
22.2.2013,648
23.2.2013,612
24.2.2013,715
26.2.2013,578
27.2.2013,667
28.2.2013,631
1.3.2013,593
2.3.2013,683
3.3.2013,627
5.3.2013,605
6.3.2013,625
7.3.2013,603
8.3.2013,567
9.3.2013,580
10.3.2013,583
12.3.2013,586
13.3.2013,554
14.3.2013,598
15.3.2013,632
16.3.2013,556
17.3.2013,517
19.3.2013,537
20.3.2013,578
21.3.2013,512
22.3.2013,694
23.3.2013,579
24.3.2013,679
26.3.2013,627
27.3.2013,535
28.3.2013,603
29.3.2013,661
30.3.2013,626
31.3.2013,522
2.4.2013,523
3.4.2013,573
4.4.2013,605
5.4.2013,515
6.4.2013,627
7.4.2013,540
9.4.2013,637
10.4.2013,551
11.4.2013,486
12.4.2013,631
13.4.2013,585
14.4.2013,627
16.4.2013,622
17.4.2013,665
18.4.2013,616
19.4.2013,582
20.4.2013,662
21.4.2013,532
23.4.2013,518
24.4.2013,586
25.4.2013,562
26.4.2013,544
27.4.2013,560
28.4.2013,467
30.4.2013,582
1.5.2013,398
2.5.2013,295
3.5.2013,230
4.5.2013,379
5.5.2013,234
7.5.2013,239
8.5.2013,292
9.5.2013,272
10.5.2013,337
11.5.2013,288
12.5.2013,368
14.5.2013,376
15.5.2013,239
16.5.2013,341
17.5.2013,316
18.5.2013,363
19.5.2013,207
21.5.2013,241
22.5.2013,315
23.5.2013,254
24.5.2013,193
25.5.2013,288
26.5.2013,326
28.5.2013,317
29.5.2013,318
30.5.2013,332
31.5.2013,233
